title,url,location,price,property_type,posted_by,description,Extracted_Locality,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
"4 BHK Flat in Jakkur, Bangalore",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-maia-pelican-grove-jakkur-bangalore-north-3247-sq-ft-spid-O86132198,MAIA Pelican Grove,₹7.6 Cr,4 BHK Flat,Dealer·1w ago,"Maia estates llp is a real estate development company in bangalore. It is committed to providing spectacular projects that deliver the best value for customers money. The developer aims to transform the property dreams of the customers into reality. It ensures that its projects emanate meticulous planning, quality material, and excellent workmanship. The company strives to be a front runner in ...",Jakkur,76000000,[4],3247,23406.22,North,7.60937797222751,0,10,6,8,9.3,0,13,0.44280442804428,67.6,42.2,54.9
"3 BHK Flat in Yelahanka, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-arvind-bel-air-yelahanka-bangalore-north-1524-sq-ft-spid-A85616750,Arvind Bel Air,₹2.05 Cr,3 BHK Flat,1mo ago,"Ready to move-In luxury apartment with premium interiors 1. Premium developer arvind smartspaces 2. Excellent nandi hill view 3. Premium location 4. Next to 4-Lane main road connecting important locations yelahanka, vidyaranyapura, sahakar nagar, jalahalli, hebbal 5. Closer to airport, metro stations, shops, restaurants, hospitals, malls, railway station 6. Next to gkvk low pollution, no water ...",Yelahanka,20500000,[3],1524,13451.44,North,2.14682011286539,4.17276270040539,9,9,8,9.3,8.5,71,2.5830258302583,58.7,68.9,63.8
"2 BHK Flat in Somasundara Palya, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ahad-silver-heights-somasundara-palya-bangalore-south-957-sq-ft-spid-P86363192,Ahad Silver Heights,₹65 Lac,2 BHK Flat,2w ago,"2 bhk flat measuring 957 sq ft sba; Rental yield: 30k per month Location: Somasundarpalya circle, hsr layout sector 2. Two bedrooms, two bathrooms, two balconies, one utility. Excellent ventilation and excellent location. 3rd floor out of 4 floors. Covered car parking. 24*7 power backup. Brand new woodwork in entire house. Kaveri and borewell water. Techpark: 50m School and education institutio...",HSR Layout,6500000,[2],957,6792.06,South,0.349216917126371,8.42340980359416,7,8,9.2,8.2,3.5,18,0.627306273062731,49,66.2,57.6
"3 BHK Flat in Sarjapur Road, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-evershine-greenwood-sarjapur-road-bangalore-east-1368-sq-ft-spid-C85565890,Evershine Greenwood,₹97.5 Lac,3 BHK Flat,,"Evershine greenwood, located in sarjapur road, bangalore, is a thoughtfully designed residential project offering well-Planned apartments amidst landscaped greenery. The development includes modern amenities such as a clubhouse, swimming pool, gym, sports courts, jogging tracks, and childrens play areas. With excellent connectivity to it hubs, schools, hospitals, and shopping centers, it ensure...",Sarjapur,9750000,[3],1368,7127.19,East,1.65224145583666,8.20949809354133,9,9,7.5,9.5,5.5,272,10,57,87.8,72.4
"4 BHK Flat in Whitefield, Bangalore",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sobha-windsor-whitefield-bangalore-east-2245-sq-ft-spid-N86296972,Sobha Windsor,₹3.65 Cr,4 BHK Flat,,"Sobha windsor is one of the most popular destination for buying apartments/ flats in whitefield, bangalore east. You too can be a part of this society by purchasing this 4 bhk flat here. The flat is facing the east direction. The flat occupies a super built up area of 2245 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 2 balconies. The residential building has 17 floors in total and the fl...",Whitefield,36500000,[4],2245,16258.35,East,4.43266121361994,2.38112686337378,10,6,7.5,9.5,0,179,6.56826568265683,57.9,58.1,58
"2 BHK Flat in Kithaganur, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kithaganur-bangalore-east-1150-sq-ft-spid-J86251458,JK Sai Paradise,₹65 Lac,2 BHK Flat,3w ago,"Spacious 2 & 3 bhk apartments for rent/sale prime location near tc palya signal Discover your dream home in a prime location just 1 km from tc palya signal and 500 meters from garden city university. These beautifully designed 2 & 3 bhk apartments offer the perfect blend of comfort, convenience, and modern living. Property highlights: Spacious & well-Ventilated apartments (2 & 3 bhk options ava...",Kithaganur,6500000,[2],1150,5652.17,East,0.961099486399087,9.15099557380908,7,8,7.5,9.5,0,2,0.03690036900369,45,68.2,56.6
"Residential land / Plot in Sulikere, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-kns-unnati-sulikere-bangalore-west-167-sq-yard-spid-M85808922,KNS Unnati,₹1.22 Cr,Residential land / Plot,1mo ago,"Residential land / plot for sale in kns unnati sulikere bangalore. A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of kns unnati, sulikere, bangalore The plot is spread across an area of 1500 sq.Ft. Available for residential construction. It is part of a gated community and is enclosed with a boundary wall on all sides. Facilities like water and e...",Sulikere,12200000,[],1500,8133.33,South,2.07073108870712,7.56728424234161,5,5,9.2,8.2,3,1,0,48.7,58.1,53.4
"3 BHK Flat in Akshaya Nagar, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-lake-verandahs-akshaya-nagar-bangalore-south-2061-sq-ft-spid-M86701834,Hiranandani Lake Verandahs,₹3.35 Cr,3 BHK Flat,Dealer·2d ago,"3.5 bedroom East facing Hiranandani lake verandahs is one of bangalore south's most sought after destination for apartments and this 3 bhk flat in akshaya nagar is your opportunity to be a part of this community. Containing 3 bedroom(s), 4 bathrooms and 2 balconies, this flat is spread over a super built up area of 2061 sq.Ft. This flat lies on the 9th level of a 28 storey building. An added ad...",Akshayanagar,33500000,[3],2061,16254.25,South,3.84931202840657,2.38374387173238,9,9,9.2,8.2,3,4,0.11070110701107,59.8,51.3,55.6
"2 BHK Flat in Mahadevapura, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-y-at-whitefield-mahadevapura-bangalore-east-870-sq-ft-r1-spid-E84886772,Y at Whitefield,₹1.22 Cr,2 BHK Flat,2mo ago,Excellent location. Well connected.,Mahadevapura,12200000,[2],870,14022.99,East,0.0733942045526599,3.80794535226975,7,8,7.5,9.5,0,19,0.664206642066421,36.6,55.8,46.2
"4 Bedroom House in Varthur, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-tirumala-vishnu-krishna-enclave-varthur-bangalore-east-2500-sq-ft-r1-spid-D79964359,Tirumala Vishnu Krishna Enclave,₹3 Cr,4 Bedroom House,4d ago,Two car park ..Full vasthu north east corner .Near to school and software companies .4km to tech park,Varthur,30000000,[4],2250,13333.33,East,4.44851309365291,4.24815168997464,10,6,7.5,9.5,3.5,84,3.06273062730627,63.3,61,62.2
"Residential land / Plot in RPC layout, Vijayanagar",https://www.99acres.com/residential-land-plot-for-sale-in-rpc-layout-bangalore-west-600-sq-yard-spid-D84776102,"RPC layout, Vijayanagar, Bangalore West",₹16.74 Cr,Residential land / Plot,2mo ago,"Commercial-Cum-Residential property for sale prime location! Rpc layout, west of chord road (Service road), bangalore West facing | 60 ft x 90 ft | 5400 sq. Ft Highly sought-After location ideal for commercial, residential, or mixed-Use development Wide frontage & excellent road visibility Surrounded by schools, hospitals, metro, and premium residences Clear title & ready for immediate registra...",Vijayanagar,167400000,[],5400,31000,West,10,0,5,5,6.8,7.4,6.5,8,0.25830258302583,67.6,40.3,54
"Residential land / Plot in Cubbonpet, Avenue Road, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-cubbonpet-bangalore-central-273-sq-yard-spid-F85343122,"Cubbonpet, Avenue Road, Bangalore, Bangalore Central",₹21 Cr,Residential land / Plot,1mo ago,"Residential land Residential land / plot for sale in cubbonpet avenue road bangalore . A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of , cubbonpet, bangalore The plot is spread across an area of 4984 sq.Ft. Available for residential construction. It is part of a gated community and is enclosed with a boundary wall on all sides. Facilities like ...",Cubbonpet,210000000,[],2456,85504.89,Central,5.10161055101135,0,5,5,9.5,8.8,3,1,0,52.4,41.3,46.8
"2 BHK Flat in Konadasapura, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-konadasapura-bangalore-east-1080-sq-ft-spid-N85686828,BDA whitefield,₹86 Lac,2 BHK Flat,1mo ago,"Its bda apprtment so no legal worries 100 per legally safe. Well maintained near whitefield spacious and good interior . U can visitvthe site and hv a look
Rent is 30k per month",Konadasapura,8600000,[2],1080,7962.96,East,0.73917316593748,7.67603051406214,7,8,7.5,9.5,0,2,0.03690036900369,42.8,64.5,53.6
"3 BHK Flat in Kudlu, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-geetham-pride-kudlu-bangalore-south-1597-sq-ft-spid-W86340480,Geetham Pride,₹1.25 Cr,3 BHK Flat,2w ago,"For sale: 3bhk semi-Furnished home in prime location Facing: East Type: 3bhk semi-Furnished Parking: 1 exclusive covered car parking Location: Just 750 meters from kudlu metro station and close to electronics city outer ring road Highlights: Very well-Connected and easily accessible Proximity to schools, hospitals, malls, and daily conveniences Thoughtfully designed interiors with vastu A perfe...",Kudlu,12500000,[3],1597,7827.18,South,2.37825756134678,7.76269817136222,9,9,9.2,8.2,8,5,0.14760147601476,65,69.8,67.4
"3 BHK Flat in Whitefield, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-whitefield-bangalore-east-1710-sq-ft-spid-F84548262,"Embassy East Avenue,",₹2.9 Cr,3 BHK Flat,1w ago,"3 bhk flat for sale in embassy east avenue, whitefield Embassy east avenue is a well-Planned residential project offering modern living with world-Class amenities. Situated in the prime location of whitefield, this upcoming society ensures excellent connectivity and a comfortable lifestyle. This spacious 3 bhk flat in whitefield is east-Facing and spread across a carpet area of 1710 sq. Ft. The...",Whitefield,29000000,[3],1710,16959.06,East,2.73651005009194,1.93386736899511,9,9,7.5,9.5,0,179,6.56826568265683,49,61.4,55.2
"Residential land / Plot in Nelamangala, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-nelamangala-bangalore-west-133-sq-yard-spid-Q85909456,Budihala Nelamangala,₹49.26 Lac,Residential land / Plot,1mo ago,"Property for sale in nelamangala 
Bmrds approval a katha 
Budihala (v)nelamangala (t) bengaluru (d)",Nelamangala,4926000,[],1200,4105,North,1.11961828672881,10,5,5,8,9.3,0,10,0.33210332103321,42.4,65.5,54
"3 BHK Flat in BTM Layout, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-comfort-palace-btm-layout-bangalore-south-1570-sq-ft-spid-P85193556,Comfort Palace,₹1.6 Cr,3 BHK Flat,2mo ago,"Great location just opposite to btm busstand near to metro station.
100% vastu with granite flooring semi furnished",BTM Layout,16000000,[3],1570,10191.08,South,2.29265740916873,6.25383327895062,9,9,9.2,8.2,3,9,0.29520295202952,58.2,61.3,59.8
"Residential land / Plot in Hennur Road, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-hennur-road-bangalore-north-729-sq-yard-spid-U86009430,"Hennur Road, Bangalore, Bangalore North",₹3.28 Cr,Residential land / Plot,Dealer·1mo ago,"Presenting a prime 6350 sft land parcel for sale off hennur road, kothanur strategically located on chikkagubbi main road near casagrand and opposite vijaya vittala college. This west-Facing property with 40 feet of road frontage lies in the yellow zone, ideal for residential, commercial, or farmhouse development. With a clear title and immediate registration available, it offers an excellent o...",Hennur,32800000,[],6560,5000,North,10,9.56727224240085,5,5,8,9.3,0,35,1.25461254612546,73.1,65.9,69.5
"Residential land / Plot in Hennur Road, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-hennur-road-bangalore-north-367-sq-yard-spid-V85645828,Nagaragiri township,₹2.14 Cr,Residential land / Plot,Dealer·1mo ago,"Bbmp e katha site for sale off hennur road kothanur in a prime location of bangalore north at fully developed area with very good nighbourhood. Nagaragiri township bileshivale * ownership of property provides you entitlement to construct upto g+3floors.To build the residence, possession is expected immediately. Currently the nature of ownership of the property is freehold. Its having various co...",Hennur,21400000,[],3300,6484.85,North,7.77740790057701,8.61950032501967,5,5,8,9.3,0,35,1.25461254612546,64.3,63.5,63.9
"3 Bedroom House in Sarjapur, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-heritage-county-sarjapur-bangalore-east-1816-sq-ft-spid-G85186522,Heritage County,₹1.73 Cr,3 Bedroom House,2mo ago,"Wishing to settle down in an individual house with your family? This well-Built and spacious 3 bhk house for sale in sarjapur, bangalore east seems to be an ideal choice for a peaceful abode for a family. The house has over super built up area of 1500 sq.Ft. And comes with 3 bedrooms, 3 bathrooms and 1 balcony. The houses comes with dedicated 1 covered and 1 open parking space(s) where you can ...",Sarjapur,17300000,[3],1500,11533.33,East,2.07073108870712,5.3970821888709,9,9,7.5,9.5,2,272,10,52.1,77.2,64.6
"3 BHK Flat in GM Palaya, Old Madras Road",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vasundhara-residency-gm-palaya-bangalore-east-1650-sq-ft-spid-L84531558,Vasundhara Residency,₹98 Lac,3 BHK Flat,1mo ago,"Urgently selling 3 bhk apartment within vasundhara residency, located in the heart of bangalore just behind bagmon it park in cv raman nagar, gm palaya. Ideally located for accessing all part of bangalore via marthahally high way. Serious buyers can contact and price is negotiable. Simply whatsapp",Old Madras Road,9800000,[3],1650,5939.39,East,2.54628748969628,8.96766456386854,9,9,7.5,9.5,1.5,31,1.1070110701107,56.9,72.3,64.6
"Residential land / Plot in Budigere, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-budigere-bangalore-north-133-sq-yard-spid-J85491338,Athena,₹67.19 Lac,Residential land / Plot,Dealer·1mo ago,"Rera registered applied, spacious, ready to build plot in budigere, bangalore east. It's a 1200 sq.Ft. Super built up area property. Construction on this property can be easily done upto 3 floors. Within 3 months, possession of property can be transferred. The owner of the property has freehold entitlement over the land. The asking price is only 67.19 lac. Negotiable.",Budigere,6719000,[],1200,5599.17,East,1.11961828672881,9.18482519405436,5,5,7.5,9.5,0,41,1.4760147601476,40.6,65.9,53.2
"3 BHK Flat in Sarjapur, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-trifecta-verdure-sarjapur-bangalore-east-1500-sq-ft-r1-spid-P77684269,Trifecta Verdure,₹1.15 Cr,3 BHK Flat,2mo ago,"3 bhk apartment for sale in trifecta verdure, sarjapur road Address: F030, trifecta verdure, chikkanayakanahalli, sarjapur road, bangalore east, bangalore Following are the features: - Undivided share of 700 sq.Ft of land - 1500 sq.Ft of super buildup area - Semi furnished - Covered car parking - 24x7 water supply - Three pool viewing balconies and one utility area - Modular kitchen - 2.4 kms f...",Sarjapur,11500000,[3],1500,7666.67,East,2.07073108870712,7.86515085712768,9,9,7.5,9.5,1.5,272,10,54.1,82.9,68.5
"7 Bedroom House in Singapura, Bangalore",https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-singapura-bangalore-north-3200-sq-ft-spid-K84439932,"No 122, 4th Cross",₹2 Cr,7 Bedroom House,2mo ago,"Gated community , a katha, borewell water source within 70 feet, community water source, cauvery water alternative days, more & reliance mart with in 300 mtrs,",Singapura,20000000,[7],1200,16666.67,North,1.11961828672881,2.12049836264638,10,6,8,9.3,3,1,0,50,49.9,50
"2 BHK Flat in Hessarghatta, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mahaveer-rich-apartment-hessarghatta-bangalore-north-1289-sq-ft-spid-S83066092,Mahaveer Rich Apartment,₹79.98 Lac,2 BHK Flat,3mo ago,"This well-Ventilated corner north facing flat and is centrally located just behind saptagiri nps university on hesarghatta main road. Offered for sale as-Is, it comes without any modifications or warranties. The property is well-Maintained and in excellent condition, featuring modern amenities, a valid a khata, and premium vitrified tile flooring. The home ensures added privacy and is ready for...",Hessarghatta,7998000,[2],1289,6204.81,North,1.40178175131571,8.79824837885907,7,8,8,9.3,2,2,0.03690036900369,49.2,68.6,58.9
"3 BHK Flat in Jalahalli, BEL Road, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sriram-sameeksha-jalahalli-bangalore-north-1300-sq-ft-spid-N86616454,Sriram Sameeksha,₹1.2 Cr,3 BHK Flat,2d ago,"A 3 bhk, spacious apartment with extended balcony in the i floor, of well maintained community shriram sameeksha, jalahalli east, immediately next to national public school , jalahalli, 5kms from jalahalli metro , 5 km from bel circle, 12 km from manyata tech park.",Jalahalli,12000000,[3],1300,9230.77,North,1.43665588738824,6.86679408305899,9,9,8,9.3,8,10,0.33210332103321,58.4,71.7,65
"3 Bedroom House in T Block, 4th T Block East, Jayanagar",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-t-block-4th-t-block-east-bangalore-south-3760-sq-ft-spid-S86338118,"T Block, 4th T Block East, Jayanagar, Bangalore South",₹7 Cr,3 Bedroom House,Yesterday,"Tired of choosing between city convenience and peaceful living? This rare, all-Rounder property offers the absolute best of both worlds, making it an ideal home for any personality or family size. It's not just a home; It's a completely effortless lifestyle located in a prime bangalore area. Unmatched walkable convenience: Forget the stress of daily commuting for errands. Everything you need fo...",Jayanagar,70000000,[3],1575,44444.44,South,2.3085092892017,0,9,9,9.2,8.2,0,12,0.40590405904059,49,42.8,45.9
"2 BHK Flat in Hennur Gardens, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vmr-geminis-signature-hennur-bangalore-north-1192-sq-ft-r3-spid-Y83250780,Vmr Geminis Signature,₹79.86 Lac,2 BHK Flat,1mo ago,"1.5km to the metro & outer ring road, 2.5km to manyata tech parks, less than a km to sparsh hospital, 4 school within 1.5km radius (Chaitanya school, narayana school, vincent pallotti school, royal concorde school), less a km to dmart, near alternat airport road. Very nice community of owners and residence.",Hennur,7986000,[2],1192,6699.66,North,1.09425527867605,8.48238823587084,7,8,8,9.3,9,35,1.25461254612546,54.8,76.6,65.7
"2 BHK Flat in Kadubeesanahalli, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vkc-chourasia-manor-phase-2-kadubeesanahalli-bangalore-east-1389-sq-ft-spid-U83202396,VKC Chourasia Manor Phase 2,₹1.3 Cr,2 BHK Flat,3mo ago,"Contact no is -+91 95602 24637. This 2 bhk flat is located in vkc chourasia manor phase 1, which houses some of the most spacious flats in kadubeesanahalli, bangalore east. The flat occupies a built up area of 1389 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The property is located on the ground floor of a 1 floor tall building. This 1-5 years old property is available for im...",Kadubeesanahalli,13000000,[2],1389,9359.25,East,1.71881935197514,6.78478597722667,7,8,7.5,9.5,0.5,12,0.40590405904059,45.8,63.3,54.6
"Residential land / Plot in Hennur Road, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-byrathi-brindavan-hennur-road-bangalore-north-367-sq-yard-spid-N86500886,Byrathi Brindavan,₹2.13 Cr,Residential land / Plot,Dealer·1w ago,Bbmp e katha site for available off hennur road kothanur in a prime location of bangalore north at fully developed area with very good nighbourhood. Location nagaragiri township bileshivale Its having various connectivity along with bus routes connecting to various parts of bangalore and international airport. Dimension: 60*55 Facing: North Bbmp e katha Clear titles Approved bank loans Hennur k...,Hennur,21300000,[],3300,6454.55,North,7.77740790057701,8.63884065508443,5,5,8,9.3,0,35,1.25461254612546,64.4,63.5,64
"2 BHK Flat in Bannerghatta Road, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sai-nandana-grandeur-bannerghatta-road-bangalore-south-1215-sq-ft-spid-N86002608,Sai Nandana Grandeur,₹1.27 Cr,2 BHK Flat,1w ago,"A separate passage leading to the house and not in the common corridor. Unlike many others, the car parking is spacious enough to park an suv and two 2-Wheelers. Surrounded by a beautiful garden. Close proximity to basic needs like hospitals, schools/colleges, shopping mall, and upcoming metro station.",Bannerghatta,12700000,[2],1215,10452.67,South,1.16717392682772,6.08686176272492,7,8,9.2,8.2,8,63,2.28782287822878,54.1,67.3,60.7
"3 Bedroom House in Gudighattanahalli, Bangalore",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-gudighattanahalli-bangalore-east-1900-sq-ft-spid-C86101918,"Gudighattanahalli, Bangalore, Bangalore East",₹1.99 Cr,3 Bedroom House,3w ago,"East-Facing 3bhk villa for sale royal tulip villas by whitehill, sarjapur (Chikka tirupathi road, bengaluru): Experience the perfect blend of contemporary architecture, natural light, and serene greenery in this beautifully designed east-Facing bungalow located in the premium royal tulip villas community by whitehill. An impeccable opportunity is here for those who are looking to own aesthetica...",Chikka Tirupathi,19900000,[3],1900,10473.68,East,3.33888149134487,6.07345119062391,9,9,7.5,9.5,1,6,0.18450184501845,56.3,63.2,59.8
"4 Bedroom House in Hebbal, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-keya-life-by-the-lake-hebbal-bangalore-north-4490-sq-ft-spid-G85984450,Keya Life By The Lake,₹5.1 Cr,4 Bedroom House,Dealer·1mo ago,"Life by the lake A panoramic view of the shimmering and pristine 180-Acre jakkur lake with hundreds of birds chirping above along with 60 acres of forested area, 30-Acre touch golf course, and all the warm, nurturing, and nostalgic laden memories of what it is to have a life by the lake . Nestled in the serene locale of jakkur, our residential properties offer an unparalleled blend of elegance ...",Hebbal,51000000,[4],4490,11358.57,North,10,5.50863057441929,10,6,8,9.3,2,23,0.811808118081181,83.5,58.5,71
"2 BHK Flat in Manyata Tech Park, Thanisandra Main Road",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mantri-manyata-lithos-manyata-tech-park-bangalore-north-1420-sq-ft-spid-F84860014,Mantri Manyata Lithos,₹1.72 Cr,2 BHK Flat,2mo ago,"Premium 2bhk apartment for sale at mantri lithos, nagavara luxury living next to manyata tech park If you are looking for a well-Designed home in a premium gated community with excellent connectivity, world-Class amenities, and a strong investment potential, this 2bhk apartment at mantri lithos, nagavara could be the perfect choice. Situated in one of north bengalurus most sought-After resident...",Manyata Tech Park,17200000,[2],1420,12112.68,North,1.81710100817957,5.0272861419067,7,8,8,9.3,6.5,10,0.33210332103321,51.4,64.1,57.8
"Residential land / Plot in 2nd Stage Nagarbhavi, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-2nd-stage-nagarbhavi-bangalore-west-133-sq-yard-spid-J86733278,"2nd Stage Nagarbhavi, Bangalore, Bangalore West",₹2.51 Cr,Residential land / Plot,Dealer·2d ago,Good location and near metro station vijayanagar,Nagarbhavi,25100000,[],1200,20916.67,West,1.11961828672881,0,5,5,6.8,7.4,3,9,0.29520295202952,33,36.8,34.9
"2 BHK Flat in Veer Sandra, Electronic City",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sipani-viveza-veer-sandra-bangalore-south-1050-sq-ft-spid-Q83420038,Sipani Viveza,₹1.25 Cr,2 BHK Flat,1mo ago,"This is your chance to a 2 bhk apartment / flat for sale in sipani viveza veer sandra electronic city . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and ha...",Electronic City,12500000,[2],1050,11904.76,South,0.644061885739649,5.16000038042365,7,8,9.2,8.2,2.5,50,1.80811808118081,45.8,58.8,52.3
"Residential land / Plot in 1st stage 3rd Block HBR Layout, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-stage-1-block-3-hbr-layout-bangalore-east-67-sq-yard-spid-W86445084,"1st stage 3rd Block HBR Layout, Bangalore, Bangalore East",₹1.26 Cr,Residential land / Plot,2w ago,Residential bda plot clear documents e khata done good location for family,HBR Layout,12600000,[],600,21000,North,0,0,5,5,8,9.3,2,2,0.03690036900369,30.5,42.1,36.3
"Residential land / Plot in Nobel Residency, Begur Road",https://www.99acres.com/residential-land-plot-for-sale-in-nobel-residency-bangalore-south-267-sq-yard-spid-M86033890,"Nobel Residency, Begur Road, Bangalore South",₹2.43 Cr,Residential land / Plot,Dealer·1mo ago,Nobel residency - A bbmp approved layout,Nobel Residency,24300000,[],2400,10125,South,4.92406949464207,6.29601179415455,5,5,9.2,8.2,0,2,0.03690036900369,54.4,52,53.2
"Residential land / Plot in Bommasandra, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-ideal-hitech-township-bommasandra-bangalore-south-267-sq-yard-spid-Y86304532,Ideal Hitech Township,₹85 Lac,Residential land / Plot,Dealer·2w ago,"Spacious, ready to build plot in bommasandra, bangalore south. It's a 2400 sq.Ft. Super built up area property. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The type of ownership is co-Operative society. The price of this massive plot is just 85 lac. Further negotiations can be done. It's a east-Facing plot.",Bommasandra,8500000,[],2400,3541.67,South,4.92406949464207,10,5,5,9.2,8.2,0,22,0.774907749077491,58.1,62.4,60.2
"Residential land / Plot in Budigere Cross, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-budigere-cross-bangalore-east-183-sq-yard-spid-N86518292,"Budigere Cross, Bangalore, Bangalore East",₹97.35 Lac,Residential land / Plot,Dealer·2d ago,"Check out this plot in budigere cross, bangalore east, an ideal destination to build your dream residence. It spreads over 1650 sq.Ft. Super built up area. Ownership of this property provides you entitlement to construct upto 3 floors. The boundary wall is already build around the plot. To build the residence, possession is expected immediately. The owner of the property has freehold entitlemen...",Budigere,9735000,[],1650,5900,East,2.54628748969628,8.99280699295272,5,5,7.5,9.5,0,41,1.4760147601476,45.4,65.4,55.4
"2 BHK Flat in 3rd Phase Iti Layout, Nayandana halli, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-3rd-phase-iti-layout-bangalore-south-1040-sq-ft-spid-W82883772,"Devatha Residency, ITI Layout, Nayandahalli",₹85 Lac,2 BHK Flat,5mo ago,"Flat bearing no 202 in the 1st floor (East facing door) of the building named devatha residency, having measured 1040 sqft of super built-Up area, consisting of 2 bedrooms, with attached bath, living room, kitchen with all interiors and all civics amenities thereon & one covered car parking space in stilt floor. Facilities provided: A) parking facility. B) back up (Generator) power for lift, co...",Nayandahalli,8500000,[2],1040,8173.08,West,0.612358125673705,7.54191202715765,7,8,6.8,7.4,1.5,5,0.14760147601476,42.3,58.5,50.4
"Residential land / Plot in Nagarbhavi, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-nagarbhavi-bangalore-west-133-sq-yard-spid-F86677638,"Nagarbhavi, Bangalore, Bangalore West",₹2.25 Cr,Residential land / Plot,Dealer·5d ago,Good location and near metro station mysore road,Nagarbhavi,22500000,[],1200,18750,West,1.11961828672881,0.790719820276632,5,5,6.8,7.4,3,9,0.29520295202952,33.8,38.8,36.3
"4 BHK Flat in Bellandur, Bangalore",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-adarsh-palm-retreat-bellandur-bangalore-east-3750-sq-ft-spid-Y86476348,Adarsh Palm Retreat,₹7.5 Cr,4 BHK Flat,,"Situated in bellandur, bangalore east, adarsh palm retreat is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in bangalore east is your opportunity to be a part of this community. This residential flat is east-Facing direction. The flat occupies a super built up area of 3750 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and 2 balconies. This f...",Bellandur,75000000,[4],3750,20000,East,9.20407710354448,0,10,6,7.5,9.5,1,53,1.91881918819188,73.2,46.1,59.6
